time,kind,level,count,side,res,cost
2023-04-26 10:00:00,CONTROL,28947.55334850412,3,-1,-1,0.018609058362170666
2023-04-26 12:00:00,CONTROL,29220.451208056038,4,-1,-1,0.015354940203918031
2023-04-26 12:00:00,CONTROL,29390.047630195393,3,-1,-1,0.01544406076205747
2023-04-26 12:00:00,CONTROL,29823.52745477212,3,-1,1,0.015671848373500837
2023-04-26 12:00:00,CONTROL,29693.27545894552,3,-1,1,0.015603402763502626
2023-04-27 00:00:00,LEVEL,28502.583333333332,6,-1,-1,0.008684764634374714
2023-04-27 00:00:00,LEVEL,28604.8,3,-1,-1,0.008715910151303073
2023-04-27 00:00:00,LEVEL,28805.575,4,-1,-1,0.008777086487464414
2023-04-27 00:00:00,LEVEL,29057.033333333336,3,-1,-1,0.008853706084179992
2023-04-27 15:00:00,LEVEL,29540.0,3,-1,0,0.008353629438484245
2023-04-27 00:00:00,CONTROL,28701.713144333513,5,-1,-1,0.00874543967986091
2023-04-27 00:00:00,CONTROL,28698.80122892343,6,-1,-1,0.008744552416426713
2023-04-27 00:00:00,CONTROL,28913.746528196018,3,-1,-1,0.008810046456444641
2023-04-27 00:00:00,CONTROL,29200.489178853142,4,-1,1,0.008897417218682938
2023-04-27 00:00:00,CONTROL,29427.88731332842,3,-1,1,0.008966705649598745
2023-04-27 00:00:00,CONTROL,29361.39799424989,3,-1,1,0.00894644628994198
2023-04-27 18:00:00,CONTROL,29805.12469319551,3,-1,1,0.007892391888703448
2023-04-28 13:00:00,LEVEL,29057.033333333336,3,1,0,0.01423513934179438
2023-04-28 00:00:00,LEVEL,29540.0,3,-1,1,0.011827679833835916
2023-04-28 13:00:00,CONTROL,28897.773906451555,6,1,1,0.014157117607533033
2023-04-28 13:00:00,CONTROL,28894.56322990076,4,1,1,0.01415554468618357
2023-04-28 08:00:00,CONTROL,29213.042556382647,4,1,0,0.01463900156290903
2023-04-28 08:00:00,CONTROL,29253.469211969925,3,1,0,0.014659259838752197
2023-04-28 03:00:00,CONTROL,29324.955967083264,3,1,-1,0.0132243318904547
2023-04-29 17:00:00,LEVEL,29057.033333333336,3,1,1,0.034643258817685055
2023-04-29 17:00:00,CONTROL,29156.086771460203,4,1,1,0.034761355316196965
2023-04-29 00:00:00,CONTROL,29197.796021323073,3,1,0,0.02093547856062961
2023-04-29 02:00:00,CONTROL,29358.899433162675,3,-1,1,0.021828685189274968
2023-04-29 00:00:00,CONTROL,29191.234399322337,3,1,0,0.02093077372959993
2023-04-30 20:00:00,LEVEL,29194.900000000005,3,1,1,0.027704074491429895
2023-04-30 14:00:00,LEVEL,29420.766666666666,3,-1,-1,0.03928989789388754
2023-04-30 15:00:00,LEVEL,29540.0,3,-1,-1,0.033310310804144025
2023-04-30 15:00:00,LEVEL,29868.333333333332,3,-1,1,0.03368055066131037
2023-04-30 15:00:00,LEVEL,29930.5,3,-1,1,0.033750651913454055
2023-04-30 13:00:00,CONTROL,29288.913683112365,4,-1,-1,0.04148571343217048
2023-04-30 15:00:00,CONTROL,29645.70552275321,3,-1,-1,0.03342950795433441
2023-04-30 15:00:00,CONTROL,29753.704147487973,3,-1,1,0.03355129088447439
2023-04-30 15:00:00,CONTROL,29676.101252222736,3,-1,-1,0.03346378321485399
2023-04-30 15:00:00,CONTROL,29756.71556142686,3,-1,1,0.03355468665746912
2023-05-01 20:00:00,LEVEL,27737.2,7,1,1,0.014999415293620609
2023-05-01 19:00:00,LEVEL,27811.6125,8,1,1,0.015296339073940384
2023-05-01 19:00:00,LEVEL,27899.675,4,1,1,0.015344773297583433
2023-05-01 19:00:00,LEVEL,27978.833333333332,6,1,1,0.015388310244863807
